Company Name,Location,Internship Role,Stipend (INR),Duration
HP,Pondicherry,Embedded Systems Intern,25000,3 Months
Cisco,Coimbatore,Embedded Systems Intern,7000,4 Months
Zoho,Coimbatore,Software Developer Intern,15000,2 Months
Cognizant,Chennai,Web Developer Intern,10000,6 Months
HP,Chennai,Web Developer Intern,5000,3 Months
Mindtree,Bangalore,Machine Learning Intern,20000,1 Month
SAP,Chennai,Embedded Systems Intern,25000,3 Months
Nokia,Chennai,Data Analyst Intern,12000,2 Months
HP,Coimbatore,Electronics Design Intern,15000,2 Months
KPMG,Pondicherry,Embedded Systems Intern,7000,3 Months
PayPal,Bangalore,Cloud Computing Intern,12000,4 Months
KPMG,Bangalore,Machine Learning Intern,7000,6 Months
Cisco,Bangalore,AI Research Intern,15000,4 Months
Intel,Pondicherry,Machine Learning Intern,7000,2 Months
Intel,Pondicherry,Network Engineer Intern,25000,4 Months
Mindtree,Pondicherry,Web Developer Intern,12000,3 Months
Siemens,Pondicherry,Embedded Systems Intern,7000,4 Months
Accenture,Coimbatore,Embedded Systems Intern,25000,1 Month
Amazon,Bangalore,Data Analyst Intern,12000,4 Months
Deloitte,Coimbatore,AI Research Intern,10000,6 Months
Intel,Chennai,DevOps Intern,15000,2 Months
Intel,Bangalore,Electronics Design Intern,5000,1 Month
Intel,Pondicherry,Network Engineer Intern,25000,2 Months
Freshworks,Bangalore,DevOps Intern,7000,3 Months
Infosys,Bangalore,Database Intern,5000,1 Month
Freshworks,Pondicherry,Electronics Design Intern,7000,2 Months
Amazon,Bangalore,Database Intern,8000,2 Months
Intel,Chennai,DevOps Intern,25000,4 Months
Capgemini,Pondicherry,AI Research Intern,8000,6 Months
Amazon,Pondicherry,Software Developer Intern,5000,6 Months
Capgemini,Chennai,Cloud Computing Intern,5000,3 Months
HP,Pondicherry,Machine Learning Intern,12000,6 Months
Infosys,Coimbatore,Web Developer Intern,5000,2 Months
HP,Bangalore,Data Analyst Intern,15000,4 Months
Google,Bangalore,Machine Learning Intern,7000,6 Months
Cognizant,Chennai,Data Analyst Intern,20000,3 Months
Bosch,Pondicherry,Cloud Computing Intern,5000,3 Months
Qualcomm,Bangalore,Web Developer Intern,8000,2 Months
SAP,Bangalore,Embedded Systems Intern,20000,1 Month
EY,Chennai,Web Developer Intern,5000,4 Months
HCLTech,Bangalore,Web Developer Intern,8000,4 Months
Dell,Pondicherry,Electronics Design Intern,12000,6 Months
Bosch,Bangalore,Embedded Systems Intern,8000,4 Months
Cisco,Bangalore,Software Developer Intern,5000,4 Months
Qualcomm,Pondicherry,Network Engineer Intern,25000,6 Months
L&T Technology Services,Chennai,DevOps Intern,10000,1 Month
Nokia,Pondicherry,AI Research Intern,8000,6 Months
Oracle,Pondicherry,Cloud Computing Intern,20000,1 Month
Accenture,Chennai,Cybersecurity Intern,7000,1 Month
Cognizant,Bangalore,Cloud Computing Intern,25000,6 Months
Siemens,Pondicherry,Database Intern,10000,2 Months
Cognizant,Coimbatore,Cybersecurity Intern,15000,2 Months
EY,Pondicherry,Machine Learning Intern,12000,6 Months
Cisco,Chennai,Cloud Computing Intern,5000,4 Months
Freshworks,Coimbatore,Cloud Computing Intern,5000,1 Month
Cognizant,Bangalore,Machine Learning Intern,8000,1 Month
SAP,Coimbatore,Machine Learning Intern,5000,3 Months
Amazon,Coimbatore,AI Research Intern,25000,4 Months
Accenture,Chennai,Electronics Design Intern,12000,3 Months
Bosch,Bangalore,Web Developer Intern,10000,6 Months
Google,Pondicherry,Data Analyst Intern,7000,6 Months
Bosch,Pondicherry,Software Developer Intern,12000,3 Months
Mindtree,Pondicherry,Web Developer Intern,15000,3 Months
EY,Pondicherry,Data Analyst Intern,5000,4 Months
Oracle,Coimbatore,Database Intern,10000,6 Months
IBM,Coimbatore,Cloud Computing Intern,20000,6 Months
EY,Pondicherry,Software Developer Intern,8000,4 Months
Tech Mahindra,Coimbatore,Embedded Systems Intern,5000,2 Months
Capgemini,Bangalore,AI Research Intern,20000,6 Months
Mindtree,Coimbatore,Embedded Systems Intern,15000,4 Months
Dell,Coimbatore,Cybersecurity Intern,5000,3 Months
Cognizant,Bangalore,Data Analyst Intern,12000,4 Months
Zoho,Bangalore,Database Intern,10000,4 Months
Bosch,Coimbatore,Software Developer Intern,15000,3 Months
Bosch,Pondicherry,AI Research Intern,25000,4 Months
IBM,Pondicherry,Database Intern,15000,1 Month
Microsoft,Bangalore,Web Developer Intern,25000,1 Month
Google,Chennai,AI Research Intern,25000,1 Month
Bosch,Chennai,Network Engineer Intern,8000,1 Month
KPMG,Chennai,Cybersecurity Intern,7000,2 Months
Nokia,Coimbatore,Web Developer Intern,12000,1 Month
Freshworks,Bangalore,Network Engineer Intern,10000,3 Months
Tech Mahindra,Bangalore,Network Engineer Intern,8000,4 Months
Intel,Pondicherry,Machine Learning Intern,15000,2 Months
PayPal,Bangalore,Data Analyst Intern,12000,2 Months
KPMG,Bangalore,Software Developer Intern,8000,3 Months
Amazon,Pondicherry,Database Intern,12000,6 Months
Amazon,Chennai,Cloud Computing Intern,8000,4 Months
Cisco,Chennai,Machine Learning Intern,10000,3 Months
Amazon,Coimbatore,Web Developer Intern,15000,4 Months
KPMG,Coimbatore,AI Research Intern,7000,4 Months
Accenture,Coimbatore,DevOps Intern,25000,6 Months
SAP,Pondicherry,Embedded Systems Intern,12000,2 Months
Nokia,Pondicherry,Database Intern,25000,2 Months
Cognizant,Chennai,AI Research Intern,20000,1 Month
Bosch,Bangalore,Data Analyst Intern,8000,2 Months
Freshworks,Coimbatore,Software Developer Intern,7000,2 Months
IBM,Chennai,Cloud Computing Intern,15000,4 Months
Accenture,Chennai,Network Engineer Intern,25000,6 Months
L&T Technology Services,Bangalore,Network Engineer Intern,12000,6 Months
KPMG,Coimbatore,Data Analyst Intern,8000,2 Months
Nokia,Coimbatore,DevOps Intern,25000,3 Months
Deloitte,Bangalore,Cloud Computing Intern,7000,6 Months
Qualcomm,Pondicherry,Data Analyst Intern,5000,6 Months
Zoho,Bangalore,AI Research Intern,12000,6 Months
IBM,Pondicherry,Data Analyst Intern,15000,1 Month
PayPal,Coimbatore,AI Research Intern,7000,3 Months
Accenture,Pondicherry,Database Intern,7000,3 Months
Microsoft,Bangalore,Database Intern,20000,6 Months
HCLTech,Bangalore,Data Analyst Intern,15000,6 Months
Siemens,Coimbatore,Database Intern,20000,1 Month
Oracle,Pondicherry,Software Developer Intern,7000,3 Months
Wipro,Chennai,Electronics Design Intern,25000,6 Months
Tech Mahindra,Pondicherry,Cybersecurity Intern,10000,1 Month
Cognizant,Bangalore,Network Engineer Intern,20000,3 Months
